date,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,icu_patients,icu_patients_per_million,stringency_index,reproduction_rate,population,population_density,median_age,life_expectancy,gdp_per_capita,extreme_poverty,diabetes_prevalence,hospital_beds_per_thousand,year,month,day,country_South Korea,code_KOR,continent_Asia
2020-01-01,0.0,0.0,0.0,0.0,79.0,1.525,0.0,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,1,1,True,True,True
2020-01-02,0.0,0.0,0.0,0.0,79.0,1.525,0.0,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,1,2,True,True,True
2020-01-03,0.0,0.0,0.0,0.0,79.0,1.525,0.0,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,1,3,True,True,True
2020-01-04,0.0,0.0,0.0,0.0,79.0,1.525,0.0,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,1,4,True,True,True
2020-01-05,0.0,0.0,0.0,0.0,79.0,1.525,0.0,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,1,5,True,True,True
2020-01-06,0.0,0.0,0.0,0.0,79.0,1.525,0.0,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,1,6,True,True,True
2020-01-07,0.0,0.0,0.0,0.0,79.0,1.525,0.0,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,1,7,True,True,True
2020-01-08,0.0,0.0,0.0,0.0,79.0,1.525,0.0,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,1,8,True,True,True
2020-01-09,0.0,0.0,0.0,0.0,79.0,1.525,0.0,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,1,9,True,True,True
2020-01-10,0.0,0.0,0.0,0.0,79.0,1.525,0.0,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,1,10,True,True,True
